id,repo,target_file,kind,signature,base_status,base_compiles,base_files,base_secs,base_hash,new_status,new_compiles,new_files,new_secs,new_hash
junit4-0037,junit4,org/junit/internal/runners/JUnit4ClassRunner.java,field,"org.junit.internal.runners.JUnit4ClassRunner#testMethods",ok,compiles,5,5.8,f4d6e93fcd68,ok,compiles,5,5.8,f4d6e93fcd68
junit4-0038,junit4,org/junit/Assert.java,method,"org.junit.Assert#isEquals(Object,Object)",ok,compiles,1,5.5,05450d1141ce,ok,compiles,1,5.5,05450d1141ce
junit4-0039,junit4,org/junit/Assert.java,method,"org.junit.Assert#assertNotEquals(float,float,float)",ok,compiles,1,4.9,146729718af4,ok,compiles,1,5.1,146729718af4
junit4-0040,junit4,org/junit/runners/BlockJUnit4ClassRunner.java,method,"org.junit.runners.BlockJUnit4ClassRunner#methodInvoker(FrameworkMethod,Object)",ok,compiles,12,6.0,db893d30ffdc,ok,compiles,12,7.0,db893d30ffdc
junit4-0041,junit4,org/junit/experimental/categories/CategoryFilterFactory.java,method,"org.junit.experimental.categories.CategoryFilterFactory#parseCategories(String)",ok,compiles,3,5.6,29b67ab2aa79,ok,compiles,3,5.8,29b67ab2aa79
junit4-0042,junit4,junit/framework/TestSuite.java,method,"junit.framework.TestSuite#testCount()",ok,compiles,2,5.1,6ce3359833d0,ok,compiles,2,5.4,6ce3359833d0
junit4-0043,junit4,org/junit/rules/ErrorCollector.java,method,"org.junit.rules.ErrorCollector#checkThat(String,T,Matcher<T>)",ok,compiles,6,6.6,76498d9ca1a6,ok,compiles,6,6.8,76498d9ca1a6
junit4-0044,junit4,org/junit/experimental/max/MaxHistory.java,field,"org.junit.experimental.max.MaxHistory.RememberingListener#overallStart",ok,compiles,2,6.3,a62067934baf,ok,compiles,2,6.0,a62067934baf
junit4-0045,junit4,org/junit/runner/FilterFactories.java,method,"org.junit.runner.FilterFactories#createFilterFactory(Class<?extendsFilterFactory>)",ok,compiles,2,5.9,a9e29946437a,ok,compiles,2,5.7,a9e29946437a
junit4-0046,junit4,org/junit/runners/model/RunnerBuilder.java,method,"org.junit.runners.model.RunnerBuilder#runnerForClass(Class<?>)",ok,compiles,3,5.8,d0cd7a7f6b92,ok,compiles,3,5.7,d0cd7a7f6b92
junit4-0047,junit4,org/junit/internal/runners/statements/FailOnTimeout.java,field,"org.junit.internal.runners.statements.FailOnTimeout#originalStatement",ok,compiles,2,5.1,bb6beea88439,ok,compiles,2,5.2,bb6beea88439
junit4-0048,junit4,junit/framework/JUnit4TestAdapter.java,method,"junit.framework.JUnit4TestAdapter#getTests()",ok,compiles,8,5.8,31fa252f107b,ok,compiles,8,5.0,31fa252f107b
junit4-0049,junit4,junit/framework/ComparisonCompactor.java,method,"junit.framework.ComparisonCompactor#compact(String)",ok,compiles,2,5.7,7811c2367921,ok,compiles,2,5.4,7811c2367921
junit4-0050,junit4,org/junit/runners/model/TestClass.java,method,"org.junit.runners.model.TestClass#getName()",ok,compiles,2,5.9,a75d91a0c27b,ok,compiles,2,5.3,a75d91a0c27b
junit4-0051,junit4,junit/runner/BaseTestRunner.java,method,"junit.runner.BaseTestRunner#endTest(Test)",ok,compiles,3,5.2,199f298e1907,ok,compiles,3,5.1,199f298e1907
junit4-0052,junit4,junit/framework/TestResult.java,method,"junit.framework.TestResult#TestResult()",ok,compiles,3,4.9,35cd20f72676,ok,compiles,3,5.0,35cd20f72676
