id,repo,target_file,kind,signature,base_status,base_compiles,base_files,base_secs,new_status,new_compiles,new_files,new_secs
checkstyle-0081,checkstyle,com/puppycrawl/tools/checkstyle/checks/coding/OverloadMethodsDeclarationOrderCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.coding.OverloadMethodsDeclarationOrderCheck#MSG_KEY",ok,compiles,7,14.4,ok,compiles,7,13.9
checkstyle-0082,checkstyle,com/puppycrawl/tools/checkstyle/meta/ModulePropertyDetails.java,field,"com.puppycrawl.tools.checkstyle.meta.ModulePropertyDetails#description",ok,compiles,1,11.9,ok,compiles,1,12.2
checkstyle-0083,checkstyle,com/puppycrawl/tools/checkstyle/gui/ParseTreeTablePresentation.java,method,"com.puppycrawl.tools.checkstyle.gui.ParseTreeTablePresentation#getValueAtDetailNode(DetailNode,int)",ok,compiles,3,12.0,ok,compiles,3,12.5
checkstyle-0084,checkstyle,com/puppycrawl/tools/checkstyle/checks/coding/MagicNumberCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.coding.MagicNumberCheck#isChildOf(DetailAST,int)",ok,compiles,8,13.1,ok,compiles,8,12.7
checkstyle-0085,checkstyle,com/puppycrawl/tools/checkstyle/DefaultConfiguration.java,method,"com.puppycrawl.tools.checkstyle.DefaultConfiguration#addMessage(String,String)",ok,compiles,2,12.0,ok,compiles,2,12.1
checkstyle-0086,checkstyle,com/puppycrawl/tools/checkstyle/checks/indentation/CommentsIndentationCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.indentation.CommentsIndentationCheck#isDistributedReturnStatement(DetailAST)",ok,compiles,9,11.6,ok,compiles,9,12.2
checkstyle-0087,checkstyle,com/puppycrawl/tools/checkstyle/meta/ModuleDetails.java,method,"com.puppycrawl.tools.checkstyle.meta.ModuleDetails#addToViolationMessages(List<String>)",ok,compiles,1,12.2,ok,compiles,1,11.6
checkstyle-0088,checkstyle,com/puppycrawl/tools/checkstyle/checks/imports/IllegalImportCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.imports.IllegalImportCheck#visitToken(DetailAST)",ok,compiles,10,13.4,ok,compiles,10,13.4
checkstyle-0089,checkstyle,com/puppycrawl/tools/checkstyle/checks/naming/AbstractClassNameCheck.java,field,"com.puppycrawl.tools.checkstyle.checks.naming.AbstractClassNameCheck#format",ok,compiles,7,12.1,ok,compiles,7,12.6
checkstyle-0090,checkstyle,com/puppycrawl/tools/checkstyle/checks/indentation/IndentationCheck.java,method,"com.puppycrawl.tools.checkstyle.checks.indentation.IndentationCheck#setBasicOffset(int)",ok,compiles,7,12.5,ok,compiles,7,12.8
